Description,Price,URL
" A Oscar Schmidt  1/2 size classical guitar, recommended for beginners and children. Played for 1-2 months, and is in good condition, except for a very very small crack between neck and body, but it doesn’t affect playability. Strings need to be changed :) Price slightly negotiable, cash only :D ",S$75,carousell.sg/p/classical-guitar-1041047419/
"Got it from a friend, wanted to learn guitar but gave up pretty soon. ",S$30,carousell.sg/p/guitar-1050742260/
Used Yamaha electric guitar and amp. Would need to replace all strings. Not for fussy buyer. ,S$50,carousell.sg/p/yamaha-electric-guitar-and-amplifier-1050740154/
"This is top model of the AA series.  Glossy Spruce Top Bridge is made of rosewood and neck is Maple. Rosewood Fingerboard.  Back and side are made of  classic Ovation composite material.  Made in Korea. Just setup by known luthier in Excelsior Cosmetic Condition- 8/10 Playing Condition- 10/10",S$250,carousell.sg/p/ovation-applause-aa21-acoustic-guitar-made-in-korea-1050064379/
Fast deal @ $100  Used less than 10 times ,S$120,carousell.sg/p/guitar-1050728743/
Used electric GUITAR CASING ONLY.  Guitar not for sale ,S$50,carousell.sg/p/electric-guitar-casing-1050725501/
"Still in good condition. Bonus: strap, jack, and soft case. ",S$150,carousell.sg/p/craftsman-electric-guitar-gibson-model-1050724525/
"James Hetfield signature 'Black Fang' guitar pick tin! The tin includes six 0.73MM (the gauge James uses) black fang picks featuring artwork by James and by Dunlop. Based on a vintage tortoise-shell pick, the Black Fang is made of tough, sturdy Ultex material with a defined tone and sharp attack. It",S$20,carousell.sg/p/metallica-james-hetfield-black-fang-guitar-pick-jim-dunlop-thrash-metal-1050721930/
New Carouseller,S$800,carousell.sg/p/yamaha-a3m-full-solid-acoustic-guitar-with-pickup-1050668341/
"Letting go of my pre-loved Yamaha csf3m 3/4 guitar for cheap. Retail goes for $719.  Bought earlier this year, rarely use it as I prefer full sized guitar. Condition 9.5/10 with piezo pickup.  This guitar is full solid has a bright and loud tone to it :)  Meet at my convenience only.   ",S$570,carousell.sg/p/yamaha-csf3m-full-solid-guitar-1050721142/
"On June 16, 2010 at the Sonisphere Festival at Bemowo Airport in Warsaw, Poland, the ""big four"" of American thrash metal—Metallica, Slayer, Megadeth, and Anthrax—performed together for the first time.  From my personal collection.Selling as a set. Slightly negotiable. Self collect from my place.",S$80,carousell.sg/p/the-big-4-godfather-of-thrash-metal-metallica-slayer-megadeth-anthrax-rare-guitar-pick-1050720090/
Selling a good condition(9/10) acoustic guitar with hardcase(7/10 condition)  Price is open for reasonable negotiation😝  PM for more info,S$650S$730,carousell.sg/p/ovation-acoustic-guitar-elite-t-2078-1043793667/
good conditions washburn 30w acoustic amp . bought 5 yrs back. location sengkang beside pri school s540229.  thank you.,S$130,carousell.sg/p/acoustic-guitar-amp-30w-1050714258/
"✨EXCELLENT✨  ✅Working Condition: 10/10 ✅Physical Condition: (9/10)  🎸  I also offer repair services, help with selling your guitar and can help you find guitars so please hit me up if you need anything!         Please feel free to ask me any questions you may have and if you would like more pi",S$430,carousell.sg/p/🔸hamer-xt-emg-pickups-electric-guitar-not-gibson-fender-1046017031/
"Letting go of this beginner guitar! - Purchased from Swee Lee in June 2020, original price at $299 - Condition: 9/10, just changed the set of strings to new Elixir strings. Very smooth - Bag is not included, you'll need to bring a bag with you (I'm upgrading to a better guitar and that doesn't come ",S$170,carousell.sg/p/fender-squier-affinity-stratocaster-electric-guitar-1050707832/
"Highly recommended quality guitar. We said so because we play it. 👍Good Quality full size guitars 👍Spruce Top, Mahogany Back & Sides 👍Suitable for Teenagers & Adults 👍Comes with Pick and Bag 👍Purchase accessories at special prices: Capo at $10, Tuner at $10, Guitar Stand at $15  Limited Units.  Vide",S$150,carousell.sg/p/41-adult-size-guitar-for-beginners-to-intermediate-players-1039798478/
"Hello , I just buy this guitar last month , and I decided for sale because I need money for go back my place , this item no crack , no dent  , come with beg",S$125,carousell.sg/p/guitar-1043921664/
"Letting go of this beautiful Fender acoustic guitar, as I want to focus on electric guitar.  - Purchased at Swee Lee in May 2020, original price is $299 - The hard case (Fender's original case) will be included - The guitar stand is included (bought at $18l - Condition: 9.5/10, but you may want to r",S$180,carousell.sg/p/fender-cd-60-dread-acoustic-guitar-1050704492/
"LAVA ME 2 Future. Evolution. We believe that the future of guitar could be better than the past. They should be lighter, easier. You don’t have to worry about the weather conditions. And of course it should has an excellent sound. This belief finally came true with the introduction of the LAVA ME 2.",S$850,carousell.sg/p/lava-me-2-freeboost-acoustic-guitar-w-ideal-bag-2-black-1050700455/
"LAVA ME 2 Future. Evolution. We believe that the future of guitar could be better than the past. They should be lighter, easier. You don’t have to worry about the weather conditions. And of course it should has an excellent sound. This belief finally came true with the introduction of the LAVA ME 2.",S$850,carousell.sg/p/lava-me-2-freeboost-acoustic-guitar-w-ideal-bag-2-red-1050696419/
"Selling used Yamaha TRBX505 Bass Guitar and soft bag included.  Colour: Grey satin finish  Overall in good condition - no dents, no scratches. Chat for more pictures. ",S$650,carousell.sg/p/yamaha-trbx505-bass-guitar-soft-bag-included-1050694998/
"For sale is an Aria Sinsonido Classical Nylon Silent Travel Guitar. The SoloEtte design is licensed to Aria from Rossco Wright, a boutique luthier who creates headless guitars.   This is a travel guitar where the black foam bars can be dismantled for a smaller footprint.   It has a 1/4” input jack t",S$400,carousell.sg/p/aria-sinsonido-soloette-silent-classical-nylon-travel-guitar-1050674900/
All three instruments at one price $150,S$150,carousell.sg/p/guitars-n-ukulele-1050673445/
"LAVA ME 2 Future. Evolution. We believe that the future of guitar could be better than the past. They should be lighter, easier. You don’t have to worry about the weather conditions. And of course it should has an excellent sound. This belief finally came true with the introduction of the LAVA ME 2.",S$850,carousell.sg/p/lava-me-2-freeboost-acoustic-guitar-w-ideal-bag-2-white-1050694370/
